ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,DESCRIPTION,ITEM PRICE
16588,1HOLPS,2015-05-08,1.0,T3000,MOTO MTR3000 BASE RADIO,6020.8
17800,1EACCD,2015-12-31,2.0,ADP-U,"UNIVERSAL PIPE MOUNT 4-1/2""",519.0
17800,1EACCD,2015-12-31,1.0,CONTINGENCY,CONTINGENCY,5000.0
17887,1VANAI,2015-04-17,2.0,AAM27QNH9LA1,XPR 4550 403-470 1-25W 160 CH,681.0
17887,1VANAI,2015-04-17,2.0,SEC1223MOTOTRBO,SAMLEX BASE STATION PWR SUPPLY,156.0
17887,1VANAI,2015-04-17,2.0,0180355A80,SPECTRUM MAGNETIC MNT  MINIUHF,28.5
17887,1VANAI,2015-04-17,2.0,0180352A11,ANTENNA 1/4 WAVE 450-470 MHZ,12.0
18184,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0
18564,1DIESO,2015-05-15,13.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,749.0
19043,1TRTPA,2016-12-30,40.0,RRDN5185,CINTA BRAIDED CABLE (PER FOOT),0.7
17800,1EACCD,2015-12-31,170.0,AVA550FX,"COMMSCOPE 7/8""COAXIAL CABLE",8.52
17800,1EACCD,2015-12-31,2.0,78EZNF,"N-FEMALE CONN FOR 7/8"" AVA",34.3
19394,1PIPPM,2015-02-13,6.0,AAH02RDH9JA2,XPR3500 403-512 128CH LKP,540.0
19394,1PIPPM,2015-02-13,6.0,PMMN4024,REMOTE SPEAKER MIC,70.0
17800,1EACCD,2015-12-31,8.0,463552,"#2, 1 hole, 5/16"" long",3.75
17800,1EACCD,2015-12-31,1.0,42570108N,TXRX RECEIVER MULTICOUPLER,2444.0
20166,1L&WEN,2015-04-14,1.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,375.0
20260,1POKPP,2015-03-13,2.0,RX2700,"CODE 3 47"" LIGHTBAR",1450.0
20260,1POKPP,2015-03-13,2.0,CCMC18,"TROY 18"" SLOPED CONSOLE",425.0
20260,1POKPP,2015-03-13,2.0,ACINBHG,"TROY 4"" INTL BEV HOLDER W/FNGR",50.0
20260,1POKPP,2015-03-13,2.0,P4704UINT13A,PRO-GARD C/SLDE WNDW PARTITION,580.0
20260,1POKPP,2015-03-13,2.0,RP47UINT13,PRO-GARD FORD UTILITY INTRCPTR,100.0
20260,1POKPP,2015-03-13,2.0,SP47BS13,PRO-GARD LWR EXT PANEL BS,90.0
20260,1POKPP,2015-03-13,4.0,MISC100,MISCELLANEOUS HARDWARE,100.0
20260,1POKPP,2015-03-13,2.0,TAD6113,ANTENNA QUARTER WAVE 152-162,19.5
20260,1POKPP,2015-03-13,2.0,ENT2B3R,INTERSECTOR UNDER MIRROR RED,150.0
20260,1POKPP,2015-03-13,2.0,ENT2B3B,INTERSECTOR UNDER MIRROR BLUE,150.0
20260,1POKPP,2015-03-13,2.0,608-DS-DS,TUFLOC DUAL AR15 BARREL LOCK,385.0
20260,1POKPP,2015-03-13,2.0,RRA4983,ANTENNA/ MOBILE 806-900 MHZ,60.0
20260,1POKPP,2015-03-13,2.0,ACSIDEARM6,SIDE ARMREST,90.0
20260,1POKPP,2015-03-13,2.0,S4705UINT13,PRO-GARD REAR SEAT/STEEL SCRN,1050.0
20260,1POKPP,2015-03-13,2.0,345146,GPS/CELLULAR SURFACE MNT,123.95
20260,1POKPP,2015-03-13,2.0,CMD102,HAVIS SWING ARM W/MOTION ADAP.,269.0
20260,1POKPP,2015-03-13,2.0,CHDM204,"HAVIS POLE, TELE, HDM, SDMT",140.0
20260,1POKPP,2015-03-13,2.0,PKGKB102,HAVIS IV KEYBOARD & MNTG PLATE,460.0
20166,1L&WEN,2015-04-14,1.0,QA00531,MICROPHONE OPTION (PMMN4013),62.48
17800,1EACCD,2015-12-31,2.0,EXG601002,"AVIAT IDU GE3 16X, 6X GIGABIT",1204.88
17800,1EACCD,2015-12-31,2.0,EZE10200,AVIAT IDU GE3 LICENSE 200 MBPS,432.0
17800,1EACCD,2015-12-31,2.0,MEEH11,"AVIAT ECLIPSE ODU 600, 11GHZ",2185.0
17800,1EACCD,2015-12-31,2.0,EZF10051,AVIAT ODU 600 HIGH POWER OPT,750.0
17800,1EACCD,2015-12-31,4.0,037579406003,AVIAT HDR-E50 - 26AWG FREE END,31.57
