,customer,invoice_date,qty_shipped,item,description,item_price,customer,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp
0,1HOLPS,2015-05-08,1.0,T3000,MOTO MTR3000 BASE RADIO,6020.8,1HOLPS,K12 Education,Keith Johnson,39760.49,11/01/1999,Ottawa,825673.0,0.309
3,1VANAI,2015-04-17,2.0,AAM27QNH9LA1,XPR 4550 403-470 1-25W 160 CH,681.0,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
4,1VANAI,2015-04-17,2.0,SEC1223MOTOTRBO,SAMLEX BASE STATION PWR SUPPLY,156.0,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
5,1VANAI,2015-04-17,2.0,0180355A80,SPECTRUM MAGNETIC MNT  MINIUHF,28.5,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
6,1VANAI,2015-04-17,2.0,0180352A11,ANTENNA 1/4 WAVE 450-470 MHZ,12.0,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
7,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
17,1POKPP,2015-03-13,2.0,RX2700,"CODE 3 47"" LIGHTBAR",1450.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
18,1POKPP,2015-03-13,2.0,CCMC18,"TROY 18"" SLOPED CONSOLE",425.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
19,1POKPP,2015-03-13,2.0,ACINBHG,"TROY 4"" INTL BEV HOLDER W/FNGR",50.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
20,1POKPP,2015-03-13,2.0,P4704UINT13A,PRO-GARD C/SLDE WNDW PARTITION,580.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
21,1POKPP,2015-03-13,2.0,RP47UINT13,PRO-GARD FORD UTILITY INTRCPTR,100.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
22,1POKPP,2015-03-13,2.0,SP47BS13,PRO-GARD LWR EXT PANEL BS,90.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
23,1POKPP,2015-03-13,4.0,MISC100,MISCELLANEOUS HARDWARE,100.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
24,1POKPP,2015-03-13,2.0,TAD6113,ANTENNA QUARTER WAVE 152-162,19.5,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
25,1POKPP,2015-03-13,2.0,ENT2B3R,INTERSECTOR UNDER MIRROR RED,150.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
26,1POKPP,2015-03-13,2.0,ENT2B3B,INTERSECTOR UNDER MIRROR BLUE,150.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
27,1POKPP,2015-03-13,2.0,608-DS-DS,TUFLOC DUAL AR15 BARREL LOCK,385.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
28,1POKPP,2015-03-13,2.0,RRA4983,ANTENNA/ MOBILE 806-900 MHZ,60.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
29,1POKPP,2015-03-13,2.0,ACSIDEARM6,SIDE ARMREST,90.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
30,1POKPP,2015-03-13,2.0,S4705UINT13,PRO-GARD REAR SEAT/STEEL SCRN,1050.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
31,1POKPP,2015-03-13,2.0,345146,GPS/CELLULAR SURFACE MNT,123.95,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
32,1POKPP,2015-03-13,2.0,CMD102,HAVIS SWING ARM W/MOTION ADAP.,269.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
33,1POKPP,2015-03-13,2.0,CHDM204,"HAVIS POLE, TELE, HDM, SDMT",140.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
34,1POKPP,2015-03-13,2.0,PKGKB102,HAVIS IV KEYBOARD & MNTG PLATE,460.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
45,1EATSD,2015-03-06,6.0,AAH25RDF9AA5,MOT HT1250 PORT UHF 128CH,776.0,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
46,1EATSD,2015-03-06,6.0,QA00060,IMPRESS SMART LION BATT OPTION,61.5,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
90,1POKPP,2015-03-13,2.0,5340D,GO RHINO PUSH BUMPER-DUAL COAT,350.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
91,1POKPP,2015-03-13,2.0,5340WHD,GO RHINO HD BLK BRUSHGUARD,320.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
92,4BERSH,2015-01-23,1.0,RRA4983,ANTENNA/ MOBILE 806-900 MHZ,57.5,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
93,4BERSH,2015-01-23,1.0,MISC50,MISCELLANEOUS HARDWARE,50.0,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
100,4SOUHC,2015-03-27,1.0,AAM27QPR9JA7BN,XPR8400 UHF REPEATER 25-40W,2500.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
101,4SOUHC,2015-03-27,3.0,0112004B04,CABLE  N-MALE/N-MALE  2',90.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
102,4SOUHC,2015-03-27,1.0,IS50NXC2,IS50NXC2 FLANGE ARRESTOR,62.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
103,4SOUHC,2015-03-27,1.0,815342006,JUMPER 6'  N MALE / N MALE,165.9,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
104,4SOUHC,2015-03-27,1.0,FRX450,LAIRD 450-470 2.9DB OMNI ANT,240.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
105,4SOUHC,2015-03-27,1.0,MISC100,MISCELLANEOUS HARDWARE,100.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
106,4SOUHC,2015-03-27,1.0,DSCP10725TUNED,MOTO UHF DUPLEXER 406-500,450.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
107,4SOUHC,2015-03-27,1.0,TOWER,TOWER CLIMB,750.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
109,4SOUHC,2015-03-27,1.0,HKLN4456,MOTO DYNAMIC MODE UPGRADE,250.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
113,1EATSD,2015-01-23,6.0,AAM25RKF9DP6,CDM1550LS+  160CH  40W  MOBILE,704.0,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
114,1POKPP,2015-02-06,2.0,EGHST1J,GRILLE LIGHTS * RED/BLUE,130.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
115,1POKPP,2015-02-06,1.0,MISC25,MISCELLANEOUS HARDWARE,25.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
120,4BERSH,2015-01-23,1.0,LPX53,FED SIG DISCRETE LPX-53,1375.0,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
123,1POKPP,2015-02-06,1.0,S10,HANDLE BAR SWITCH,35.0,1POKPP,Law Enforcement,Tom Gillespie,306781.47,12/30/2003,Cass,121875.0,0.073
124,4STJOS,2015-01-23,1.0,CCMC18,"TROY 18"" SLOPED CONSOLE",425.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
125,4STJOS,2015-01-23,1.0,ACINBHG,"TROY 4"" INTL BEV HOLDER W/FNGR",50.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
126,4STJOS,2015-01-23,1.0,ACSIDEARM6,SIDE ARMREST,90.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
127,4STJOS,2015-01-23,1.0,CMMCMTSALT17,TROY MC SWING-ARM LAPTOP MOUNT,525.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
128,4STJOS,2015-01-23,1.0,MISC50,MISCELLANEOUS HARDWARE,50.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
129,4STJOS,2015-01-23,1.0,PA1580-1921,LIND DC-DC POWER SUPPLY 15 AMP,149.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
130,4STJOS,2015-01-23,1.0,CGX,HAVIS CHARGEGUARD,99.0,4STJOS,Law Enforcement,Tom Gillespie,151637.87,11/01/1999,Berrien,510290.0,0.291
131,4VANCS,2015-02-06,1.0,PB47UINT13,PRO-GARD PUSH BUMPER,280.0,4VANCS,Law Enforcement,Tom Gillespie,99481.98,11/01/1999,Van Buren,165946.0,0.257
132,1GHDPS,2015-02-27,1.0,F5218A,MOTO MW810 MOBILE WORKSTATION,2076.0,1GHDPS,Government Services,Keith Johnson,21446.88,11/01/1999,Ottawa,825673.0,0.309
133,1GHDPS,2015-02-27,1.0,1409320100,CALAMP FUSION LTE ROUTER,1490.0,1GHDPS,Government Services,Keith Johnson,21446.88,11/01/1999,Ottawa,825673.0,0.309
134,1GHDPS,2015-02-27,1.0,3YRWTYFUSION,3 YEAR WARRANTY/FUSION LTE,250.0,1GHDPS,Government Services,Keith Johnson,21446.88,11/01/1999,Ottawa,825673.0,0.309
135,4SOUHC,2015-02-27,20.0,AAH01QDC9JA2,CP200D UHF 4W ND,425.0,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
136,1HAMFD,2015-01-23,3.0,AAM01JQH9JC1,MOTO CM300D VHF 45W DASH MT,480.0,1HAMFD,Fire & EMS,Keith Johnson,18150.68,11/01/1999,Allegan,318656.0,0.149
137,1HAMFD,2015-01-23,3.0,2880376E84,MINI UHF CONNECTOR,5.75,1HAMFD,Fire & EMS,Keith Johnson,18150.68,11/01/1999,Allegan,318656.0,0.149
138,1EATSD,2015-01-23,6.0,425-6303,"JOTTO DESK FACEPLATE 3""",31.0,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
141,1ALPEF,2015-02-06,1.0,AAM79KTD9PW5,PM1500 VHF 100W MOBILE,1350.0,1ALPEF,Fire & EMS,Jessica Spindler,5633.2,10/13/2006,Alpena,50657.0,0.073
146,1KAMPS,2015-02-13,3.0,AAM02QNH9JA1,MOTO XPR 2500 403-470 25W,520.0,1KAMPS,Manufacturing,Pat McBride,64718.0,2/20/2012,Kent,1601574.0,0.421
147,1KAMPS,2015-02-13,3.0,0180352A11,ANTENNA 1/4 WAVE 450-470 MHZ,12.0,1KAMPS,Manufacturing,Pat McBride,64718.0,2/20/2012,Kent,1601574.0,0.421
148,1KAMPS,2015-02-13,3.0,0180355A80,SPECTRUM MAGNETIC MNT  MINIUHF,28.5,1KAMPS,Manufacturing,Pat McBride,64718.0,2/20/2012,Kent,1601574.0,0.421
149,4BERSH,2015-03-27,1.0,AAM01JQH9JC1,MOTO CM300D VHF 45W DASH MT,475.0,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
150,4BERSH,2015-03-27,1.0,HLN9457,EXPANDED ACCY TERMINAL KIT,6.0,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
151,4BERSH,2015-03-27,1.0,RSN4001,EXTERNAL SPEAKER 13 WATT,66.0,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
152,4BERSH,2015-03-27,1.0,TAD6113,ANTENNA QUARTER WAVE 152-162,19.5,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
154,1FOURW,2015-01-23,150.0,PMNN4077,IMPRESS Li-ION BATTERY,81.75,1FOURW,Hospitality,Tom Gillespie,1123935.02,1/29/2008,Berrien,510290.0,0.291
156,1HANBT,2015-01-23,1.0,AAH01QDC9JA2,CP200D UHF 4W ND,466.0,1HANBT,Manufacturing,Skip Petrovich,4408.44,11/01/1999,Kent,1601574.0,0.421
159,1GORFO,2015-02-13,1.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,400.0,1GORFO,Manufacturing,Skip Petrovich,27801.31,11/01/1999,Kent,1601574.0,0.421
160,1GORFO,2015-02-13,6.0,NAE6522,ANTENNA UHF STUBBY,12.25,1GORFO,Manufacturing,Skip Petrovich,27801.31,11/01/1999,Kent,1601574.0,0.421
161,1GORFO,2015-02-13,2.0,PMMN4013,REMOTE SPEAKER MIC,73.5,1GORFO,Manufacturing,Skip Petrovich,27801.31,11/01/1999,Kent,1601574.0,0.421
163,1NEWEF,2015-01-23,5.0,PMMN4013,REMOTE SPEAKER MIC,73.5,1NEWEF,Manufacturing,Pat McBride,21581.93,4/30/2009,Oceana,52020.0,0.359
164,1NEWEF,2015-01-23,6.0,PMAD4025,ANTENNA/ STUBBY 150-161 MHZ,17.83,1NEWEF,Manufacturing,Pat McBride,21581.93,4/30/2009,Oceana,52020.0,0.359
165,1NEWEF,2015-01-23,1.0,WPLN4138,DESKTOP RAPID CHARGER,57.75,1NEWEF,Manufacturing,Pat McBride,21581.93,4/30/2009,Oceana,52020.0,0.359
167,7POPEX,2015-02-27,9.0,AAM27QPC9LA1,MOTOTRBO XPR4350 UHF 32CH 40W,588.75,7POPEX,Construction,Jessica Spindler,32659.24,11/01/1999,Grand Traverse,215459.0,0.205
168,1NEWHB,2015-01-23,4.0,AAH73WCF9NA5,DTR650 1W 900MHZ DIGITAL PRTBL,250.0,1NEWHB,Warehousing,Kelly Hoek,3339.5,12/03/2012,Ottawa,825673.0,0.309
169,1KAMPS,2015-02-13,2.0,AAH02RDC9JA2,MOTO XPR3300 403-512M 16CH,465.0,1KAMPS,Manufacturing,Pat McBride,64718.0,2/20/2012,Kent,1601574.0,0.421
170,1EATSD,2015-03-06,6.0,QA00061,IMPRES SUC CHARGER,50.93,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
175,1EATSD,2015-03-06,16.0,HNN4003,2000 MAH IMPRESS BATTERY,73.0,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
176,1KUYPE,2015-02-20,1.0,AAH02RDH9JA2,XPR3500 403-512 128CH LKP,506.0,1KUYPE,Colleges & Universities,Pat McBride,801.15,12/27/2013,Kent,1601574.0,0.421
177,1NEWEF,2015-02-13,1.0,AAH55JDC9LA1,XPR6350 MOTOTRBO  VHF  GPS,695.0,1NEWEF,Manufacturing,Pat McBride,21581.93,4/30/2009,Oceana,52020.0,0.359
178,1BUTSE,2015-04-24,1.0,AAM28QPN9KA1,XPR5550 UHF MOBILE 40W 1000CH,747.0,1BUTSE,Healthcare,Skip Petrovich,86217.37,11/01/1999,Kent,1601574.0,0.421
179,7GRATS,2015-04-30,1.0,L3217,MC2500 MULTI CHAN REMOTE,2326.88,7GRATS,Government Services,Jessica Spindler,41385.86,11/01/1999,Grand Traverse,215459.0,0.205
180,7MARMA,2015-01-23,3.0,AAH01JDC9JA2,CP200D VHF 5W ND,412.5,7MARMA,Manufacturing,Jessica Spindler,85206.71,11/01/1999,Manistee,62275.0,0.39
181,1HAWOR,2015-01-30,2.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
182,1HAWOR,2015-01-30,2.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
183,1HAWOR,2015-01-30,2.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
184,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
185,1HAWOR,2015-01-30,2.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
186,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
187,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
188,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
189,1HAWOR,2015-01-30,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
190,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
191,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
192,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
