customer,invoice_date,qty_shipped,item,description,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp,item_price_rank,target
7WOLPO,2017-08-31,4.0,AAH02RDC9VA1,MOTO XPR3300E 403-512 4W NKP,Utilities,Jessica Spindler,112928.57,11/01/1999,Wexford,67091.0,0.114,202,0
7WOLPO,2016-06-24,6.0,AAH02RDC9VA1,MOTO XPR3300E 403-512 4W NKP,Utilities,Jessica Spindler,112928.57,11/01/1999,Wexford,67091.0,0.114,202,0
7WEYER,2016-09-29,2.0,AAH01QDC9JA2,MOTO CP200D UHF 4W ND,Manufacturing,Jessica Spindler,6313.9,11/01/1999,Crawford,5375.0,4.437,221,0
7WEYER,2016-09-20,2.0,AAH01QDC9JA2,MOTO CP200D UHF 4W ND,Manufacturing,Jessica Spindler,6313.9,11/01/1999,Crawford,5375.0,4.437,221,0
7WEYER,2015-06-05,1.0,AAM01QPC9JA1,MOTO CM200D 403-470 40W MOBILE,Manufacturing,Jessica Spindler,6313.9,11/01/1999,Crawford,5375.0,4.437,191,0
7WEXSA,2018-09-25,3.0,AAM01JQC9JC1AN,MOTO CM200D 136-174 45W 16CH,Mining & Materials,Jessica Spindler,3269.2,4/16/2009,Wexford,67091.0,0.114,229,0
7WEXCS,2017-09-08,1.0,CSI-AY/746-896/11,WESTELL TECH 746-896/11 YAGI,Law Enforcement,Jessica Spindler,51260.25,11/01/1999,Wexford,67091.0,0.114,376,0
7WEXCS,2015-10-30,1.0,AAM01JNC9JA1,MOTO CM200D 136-174 25W MOBILE,Law Enforcement,Jessica Spindler,51260.25,11/01/1999,Wexford,67091.0,0.114,248,0
7WEQUE,2017-06-23,2.0,AAH01JDC9JA2,CP200D VHF 5W ND,Property Management,Jessica Spindler,2305.5,12/27/2012,Emmet,80040.0,0.131,252,0
7WEQUE,2016-05-20,2.0,AAH01JDC9JA2,CP200D VHF 5W ND,Property Management,Jessica Spindler,2305.5,12/27/2012,Emmet,80040.0,0.131,252,0
7WEMIS,2019-09-30,10.0,AAH84KDS8AA1AN,MOTO BPR40 150-174 MHZ 5W,K12 Education,Jessica Spindler,10273.0,10/18/2001,Wexford,67091.0,0.114,387,0
7WEMIS,2018-10-24,1.0,AAH84KDS8AA1AN,MOTO BPR40 150-174 MHZ 5W,K12 Education,Jessica Spindler,10273.0,10/18/2001,Wexford,67091.0,0.114,387,0
7WEMIS,2018-05-04,1.0,AAH84KDS8AA1AN,MOTO BPR40 150-174 MHZ 5W,K12 Education,Jessica Spindler,10273.0,10/18/2001,Wexford,67091.0,0.114,387,0
7WEMIS,2018-03-23,3.0,AAH84KDS8AA1AN,MOTO BPR40 150-174 MHZ 5W,K12 Education,Jessica Spindler,10273.0,10/18/2001,Wexford,67091.0,0.114,387,0
7WEMIS,2018-02-09,1.0,AAH84KDS8AA1AN,MOTO BPR40 150-174 MHZ 5W,K12 Education,Jessica Spindler,10273.0,10/18/2001,Wexford,67091.0,0.114,387,0
7WEMIS,2017-03-10,26.0,AAH84KDS8AA1,BPR40 VHF 8CH,K12 Education,Jessica Spindler,10273.0,10/18/2001,Wexford,67091.0,0.114,391,0
7TUSTP,2020-09-29,2.0,GDVNHL,GETAC: V110 HAVIS VEHICLE DOCK,Law Enforcement,Jessica Spindler,21617.39,11/01/1999,Cheboygan,64817.0,0.402,138,0
7TUSTP,2020-05-15,4.0,TT3457A,SIERRA WIRELESS (DC:WIFI),Law Enforcement,Jessica Spindler,21617.39,11/01/1999,Cheboygan,64817.0,0.402,92,0
7TRCFD,2016-12-22,1.0,48159-720-L,TACLITE REVERSIBLE JACKET,Fire & EMS,Jessica Spindler,49875.49,6/08/2009,Grand Traverse,215459.0,0.205,533,0
7REDPO,2018-06-29,4.0,AAH01QDC9JA2AN,MOTO CP200D 403-470 4W ND,Agriculture,Jessica Spindler,3420.77,11/01/1999,Leelanau,47091.0,0.015,218,0
7POPEX,2017-04-21,2.0,AAH02RDH9VA1,MOTO XPR 3500E 403-512 4W LKP,Construction,Jessica Spindler,32659.24,11/01/1999,Grand Traverse,215459.0,0.205,177,0
7PETOW,2019-06-28,10.0,AT6749A,ADVANCETEC HANDS FREE CAR KIT,Transportation,Jessica Spindler,5483.29,11/01/1999,Wexford,67091.0,0.114,314,0
7PETOW,2019-06-14,10.0,AT6749A,ADVANCETEC HANDS FREE CAR KIT,Transportation,Jessica Spindler,5483.29,11/01/1999,Wexford,67091.0,0.114,314,0
7PETFD,2020-07-10,1.0,7160-0928,GAMBER JOHNSON MOTION ATTACHMN,Law Enforcement,Jessica Spindler,18528.45,3/08/2001,Emmet,80040.0,0.131,309,0
