ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,ITEM PRICE
16588,1HOLPS,2015-05-08,1.0,T3000,6020.8
17800,1EACCD,2015-12-31,2.0,ADP-U,519.0
17800,1EACCD,2015-12-31,1.0,CONTINGENCY,5000.0
17887,1VANAI,2015-04-17,2.0,AAM27QNH9LA1,681.0
17887,1VANAI,2015-04-17,2.0,SEC1223MOTOTRBO,156.0
17887,1VANAI,2015-04-17,2.0,0180355A80,28.5
17887,1VANAI,2015-04-17,2.0,0180352A11,12.0
18184,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,799.0
18564,1DIESO,2015-05-15,13.0,AAH56RDC9KA1,749.0
19043,1TRTPA,2016-12-30,40.0,RRDN5185,0.7
17800,1EACCD,2015-12-31,170.0,AVA550FX,8.52
17800,1EACCD,2015-12-31,2.0,78EZNF,34.3
19394,1PIPPM,2015-02-13,6.0,AAH02RDH9JA2,540.0
19394,1PIPPM,2015-02-13,6.0,PMMN4024,70.0
17800,1EACCD,2015-12-31,8.0,463552,3.75
17800,1EACCD,2015-12-31,1.0,42570108N,2444.0
20166,1L&WEN,2015-04-14,1.0,AAH01QDC9JC2,375.0
20260,1POKPP,2015-03-13,2.0,RX2700,1450.0
20260,1POKPP,2015-03-13,2.0,CCMC18,425.0
20260,1POKPP,2015-03-13,2.0,ACINBHG,50.0
20260,1POKPP,2015-03-13,2.0,P4704UINT13A,580.0
20260,1POKPP,2015-03-13,2.0,RP47UINT13,100.0
20260,1POKPP,2015-03-13,2.0,SP47BS13,90.0
20260,1POKPP,2015-03-13,4.0,MISC100,100.0
20260,1POKPP,2015-03-13,2.0,TAD6113,19.5
20260,1POKPP,2015-03-13,2.0,ENT2B3R,150.0
20260,1POKPP,2015-03-13,2.0,ENT2B3B,150.0
20260,1POKPP,2015-03-13,2.0,608-DS-DS,385.0
20260,1POKPP,2015-03-13,2.0,RRA4983,60.0
20260,1POKPP,2015-03-13,2.0,ACSIDEARM6,90.0
20260,1POKPP,2015-03-13,2.0,S4705UINT13,1050.0
20260,1POKPP,2015-03-13,2.0,345146,123.95
20260,1POKPP,2015-03-13,2.0,CMD102,269.0
20260,1POKPP,2015-03-13,2.0,CHDM204,140.0
20260,1POKPP,2015-03-13,2.0,PKGKB102,460.0
20166,1L&WEN,2015-04-14,1.0,QA00531,62.48
17800,1EACCD,2015-12-31,2.0,EXG601002,1204.88
17800,1EACCD,2015-12-31,2.0,EZE10200,432.0
17800,1EACCD,2015-12-31,2.0,MEEH11,2185.0
17800,1EACCD,2015-12-31,2.0,EZF10051,750.0
17800,1EACCD,2015-12-31,4.0,037579406003,31.57
17800,1EACCD,2015-12-31,2.0,VHLP311WSE1,895.0
17800,1EACCD,2015-12-31,2.0,EZF10019,47.0
17800,1EACCD,2015-12-31,2.0,SNABWXXA1002443,966.0
17800,1EACCD,2015-12-31,6.0,01139001001,14.44
20461,1EATSD,2015-03-06,6.0,AAH25RDF9AA5,776.0
20461,1EATSD,2015-03-06,6.0,QA00060,61.5
17800,1EACCD,2015-12-31,1.0,160012-WHT-1X5,19.99
17800,1EACCD,2015-12-31,2.0,1101994,110.0
17800,1EACCD,2015-12-31,2.0,IPMUX1EAC4EMUTP,2000.0
17800,1EACCD,2015-12-31,1.0,SMX3000RMLV2U,1541.89
17800,1EACCD,2015-12-31,2.0,DRS1215,88.0
17800,1EACCD,2015-12-31,1.0,DB420B,1910.0
17800,1EACCD,2015-12-31,4.0,342251,36.0
17800,1EACCD,2015-12-31,1.0,L5SGRIP,25.7
17800,1EACCD,2015-12-31,4.0,SSH78,28.9
17800,1EACCD,2015-12-31,3.0,SG7806B2A,20.45
17800,1EACCD,2015-12-31,1.0,F4ANMNM6P,150.0
17800,1EACCD,2015-12-31,200.0,CNT400,1.0
17800,1EACCD,2015-12-31,180.0,CNT400,1.0
17800,1EACCD,2015-12-31,2.0,GTHNFFAL,55.0
17800,1EACCD,2015-12-31,8.0,400BPNMC,12.37
17800,1EACCD,2015-12-31,75.0,LMR400,1.05
17800,1EACCD,2015-12-31,1.0,TC400NMCRA(A),26.0
17800,1EACCD,2015-12-31,1.0,TC400NMC,10.75
17800,1EACCD,2015-12-31,10.0,SSH12,22.85
17800,1EACCD,2015-12-31,10.0,SSHA38,8.74
17800,1EACCD,2015-12-31,2.0,WSHG38P,15.8
17800,1EACCD,2015-12-31,150.0,77168,2.05
17800,1EACCD,2015-12-31,50.0,419550,2.0
17800,1EACCD,2015-12-31,12.0,477563,2.0
17800,1EACCD,2015-12-31,6.0,GKFORM6038,28.06
17800,1EACCD,2015-12-31,65.0,219G,2.6
17800,1EACCD,2015-12-31,3.0,441626,10.0
17800,1EACCD,2015-12-31,1.0,451953,62.0
17800,1EACCD,2015-12-31,2.0,RGBVKIT145872A,99.15
17800,1EACCD,2015-12-31,1.0,ISB50HNC2ME,75.0
17800,1EACCD,2015-12-31,3.0,BFADAPTER,10.0
17800,1EACCD,2015-12-31,2.0,87838,12.35
17800,1EACCD,2015-12-31,2.0,SLIDESHELFD,158.0
20690,4VILPD,2015-03-13,1.0,RRA4983,60.0
20690,4VILPD,2015-03-13,1.0,MISC100,100.0
20690,4VILPD,2015-03-13,1.0,LGDLPXDSCRT45,1100.0
20690,4VILPD,2015-03-13,1.0,CEB40CCS1P,40.0
20690,4VILPD,2015-03-13,1.0,ENT2B3B,150.0
20690,4VILPD,2015-03-13,1.0,ENT2B3R,150.0
20690,4VILPD,2015-03-13,1.0,B4705UINT13,400.0
20702,*700,2015-03-06,6.0,AAH73WCF9NA5,265.0
20702,*700,2015-03-06,1.0,53960,130.0
20702,*700,2015-03-06,1.0,HMN9051,57.75
20260,1POKPP,2015-03-13,2.0,5340D,350.0
20260,1POKPP,2015-03-13,2.0,5340WHD,320.0
20987,4BERSH,2015-01-23,1.0,RRA4983,57.5
20987,4BERSH,2015-01-23,1.0,MISC50,50.0
20866,7EMMCC,2015-02-27,1.0,F5218A,2076.0
20866,7EMMCC,2015-02-27,1.0,VA00845,104.0
20866,7EMMCC,2015-02-27,1.0,VA00840,284.0
20866,7EMMCC,2015-02-27,1.0,VA00763,236.0
20866,7EMMCC,2015-02-27,1.0,VA00795,1116.0
20866,7EMMCC,2015-02-27,1.0,VA00822,200.0
21035,4SOUHC,2015-03-27,1.0,AAM27QPR9JA7BN,2500.0
21035,4SOUHC,2015-03-27,3.0,0112004B04,90.0
21035,4SOUHC,2015-03-27,1.0,IS50NXC2,62.0
21035,4SOUHC,2015-03-27,1.0,815342006,165.9
21035,4SOUHC,2015-03-27,1.0,FRX450,240.0
21035,4SOUHC,2015-03-27,1.0,MISC100,100.0
21035,4SOUHC,2015-03-27,1.0,DSCP10725TUNED,450.0
21035,4SOUHC,2015-03-27,1.0,TOWER,750.0
20866,7EMMCC,2015-02-27,3.0,0180351A98,25.0
21035,4SOUHC,2015-03-27,1.0,HKLN4456,250.0
20866,7EMMCC,2015-02-27,2.0,RFT12022,6.0
20866,7EMMCC,2015-02-27,2.0,TRAB4503,70.0
20866,7EMMCC,2015-02-27,1.0,293100,5.25
21137,1EATSD,2015-01-23,6.0,AAM25RKF9DP6,704.0
21144,1POKPP,2015-02-06,2.0,EGHST1J,130.0
21144,1POKPP,2015-02-06,1.0,MISC25,25.0
21159,*700,2015-01-23,4.0,AAM28QPC9KA1,599.0
21167,6SBRAD,2015-02-06,2.0,EPL9000-54,1350.0
21167,6SBRAD,2015-02-06,2.0,ETSP6F,80.0
20866,7EMMCC,2015-02-27,1.0,GPSU15M,82.0
20987,4BERSH,2015-01-23,1.0,LPX53,1375.0
20866,7EMMCC,2015-02-27,1.0,GPDE604513005,3015.0
20866,7EMMCC,2015-02-27,1.0,CCC5913S020,50.0
21144,1POKPP,2015-02-06,1.0,S10,35.0
21218,4STJOS,2015-01-23,1.0,CCMC18,425.0
21218,4STJOS,2015-01-23,1.0,ACINBHG,50.0
21218,4STJOS,2015-01-23,1.0,ACSIDEARM6,90.0
21218,4STJOS,2015-01-23,1.0,CMMCMTSALT17,525.0
21218,4STJOS,2015-01-23,1.0,MISC50,50.0
21218,4STJOS,2015-01-23,1.0,PA1580-1921,149.0
21218,4STJOS,2015-01-23,1.0,CGX,99.0
21309,4VANCS,2015-02-06,1.0,PB47UINT13,280.0
